state,year,min,first_quartile,median,third_quartile,max
Selangor,2022,2200,6314,9902,14141,74238
Putrajaya,2022,3225,6969,9993,15079,67740
Johor,2022,1197,4278,6826,10603,41435
Labuan,2022,2350,5016,6860,9757,29667
Pulau Pinang,2022,1251,4112,6457,10034,42401
Melaka,2022,1433,3995,6161,9823,45259
Kuala Lumpur,2022,2112,6866,10164,15139,85605
Terengganu,2022,1396,4162,5834,8341,37405
Negeri Sembilan,2022,1372,3368,5179,8415,29764
Sarawak,2022,1014,3063,4934,8122,29954
Sabah,2022,1049,2877,4535,7436,31838
Pahang,2022,1364,3415,4704,6957,22279
Perak,2022,1043,2949,4460,7043,20362
Perlis,2022,937,3042,4695,6952,22997
Kedah,2022,940,2879,4368,6615,28740
Kelantan,2022,1054,2386,3586,5667,24466
